Date,"Bitcoin","Cryptocurrency"
2021-01-01,13774,6374
2021-01-02,30157,11939
2021-01-03,43194,14554
2021-01-04,34344,13487
2021-01-05,27838,11945
2021-01-06,28175,11369
2021-01-07,36162,14700
2021-01-08,39469,15065
2021-01-09,31114,12950
2021-01-10,28672,12002
2021-01-11,36034,13105
2021-01-12,32658,12411
2021-01-13,33660,11937
2021-01-14,37020,12798
2021-01-15,32078,11927
2021-01-16,27369,9740
2021-01-17,25619,8829
2021-01-18,21719,8871
2021-01-19,21160,9932
2021-01-20,16493,8780
2021-01-21,18333,9020
2021-01-22,20243,8987
2021-01-23,15745,7767
2021-01-24,14696,7528
2021-01-25,15964,8387
2021-01-26,14616,7970
2021-01-27,16179,8140
2021-01-28,19555,12268
2021-01-29,35594,29183
2021-01-30,26792,19202
2021-01-31,21437,16341
2021-02-01,20630,14923
2021-02-02,18219,12339
2021-02-03,17573,12058
2021-02-04,19452,16030
2021-02-05,18528,16414
2021-02-06,19771,17686
2021-02-07,19851,17648
2021-02-08,50244,25027
2021-02-09,61878,26315
2021-02-10,42689,21683
2021-02-11,38117,20977
2021-02-12,33109,19660
2021-02-13,28789,18330
2021-02-14,27577,15448
2021-02-15,29092,16108
2021-02-16,36913,16790
2021-02-17,37916,17146
2021-02-18,32559,16761
2021-02-19,35291,18604
2021-02-20,40186,21681
2021-02-21,35521,20038
2021-02-22,36198,19981
2021-02-23,36909,19082
2021-02-24,31977,18295
2021-02-25,27352,17559
2021-02-26,26786,15567
2021-02-27,25436,14827
2021-02-28,24309,13497
2021-03-01,23853,14868
2021-03-02,21540,14717
2021-03-03,19713,14212
2021-03-04,18634,14158
2021-03-05,18268,12652
2021-03-06,19154,14246
2021-03-07,18321,12440
2021-03-08,18891,11875
2021-03-09,20546,13136
2021-03-10,20086,12770
2021-03-11,18750,13324
2021-03-12,18257,10562
2021-03-13,22149,10226
2021-03-14,26524,11951
2021-03-15,23676,12472
2021-03-16,21122,11913
2021-03-17,19020,11037
2021-03-18,19066,10387
2021-03-19,16539,9419
2021-03-20,14869,9098
2021-03-21,14352,9180
2021-03-22,15723,9671
2021-03-23,15708,9613
2021-03-24,21868,9405
2021-03-25,19518,8986
2021-03-26,15586,8243
2021-03-27,16429,8472
2021-03-28,15407,8505
2021-03-29,15302,8821
2021-03-30,15752,9523
2021-03-31,15945,9540
2021-04-01,18596,9135
2021-04-02,14859,8979
2021-04-03,14282,8779
2021-04-04,13611,8952
2021-04-05,15654,10388
2021-04-06,16513,11533
2021-04-07,16310,11525
2021-04-08,16919,11073
2021-04-09,15637,10194
2021-04-10,15195,10637
2021-04-11,16277,11581
2021-04-12,16409,11622
2021-04-13,19932,13862
2021-04-14,25099,20272
2021-04-15,24510,20191
2021-04-16,27182,33702
2021-04-17,21863,28938
2021-04-18,23391,26662
2021-04-19,25167,27492
2021-04-20,21249,24894
2021-04-21,17594,19454
2021-04-22,17743,17283
2021-04-23,20632,17476
2021-04-24,16883,15529
2021-04-25,15460,15399
2021-04-26,17362,15878
2021-04-27,23996,17740
2021-04-28,28758,20072
2021-04-29,23305,16783
2021-04-30,22555,16133
2021-05-01,18129,16716
2021-05-02,19853,17007
2021-05-03,22204,19925
2021-05-04,21952,28497
2021-05-05,23933,37276
2021-05-06,24629,35117
2021-05-07,23366,33505
2021-05-08,25201,36415
2021-05-09,27501,40883
2021-05-10,27868,38948
2021-05-11,24676,28292
2021-05-12,23491,23762
2021-05-13,63121,42561
2021-05-14,40525,37786
2021-05-15,30379,34781
2021-05-16,29323,32034
2021-05-17,32345,31551
2021-05-18,26906,25183
2021-05-19,47772,46149
2021-05-20,45401,47452
2021-05-21,36220,31215
2021-05-22,37600,27819
2021-05-23,35716,26814
2021-05-24,33931,27335
